mMed,mDark,rinv,yukawa,cross_section
500,1,0.3,1.0,41.7599983215332
500,5,0.3,1.0,41.7599983215332
500,10,0.3,1.0,41.7599983215332
500,20,0.0,1.0,41.7599983215332
500,20,0.05,1.0,41.7599983215332
500,20,0.1,1.0,41.7599983215332
500,20,0.2,1.0,41.7599983215332
500,20,0.3,0.5,10.069999694824219
500,20,0.3,1.0,41.7599983215332
500,20,0.3,1.5,151.5
500,20,0.3,2.0,427.5
500,20,0.3,2.5,923.0999755859375
500,20,0.3,3.0,1851.0
500,20,0.3,3.5,3336.0
500,20,0.4,1.0,41.7599983215332
500,20,0.5,1.0,41.7599983215332
500,20,0.6,1.0,41.7599983215332
500,20,0.7,1.0,41.7599983215332
500,20,0.8,1.0,41.7599983215332
500,20,0.9,1.0,41.7599983215332
500,20,1.0,1.0,41.7599983215332
600,1,0.3,1.0,19.649999618530273
600,5,0.3,1.0,19.649999618530273
600,10,0.3,1.0,19.649999618530273
600,20,0.0,1.0,19.649999618530273
600,20,0.05,1.0,19.649999618530273
600,20,0.1,1.0,19.649999618530273
600,20,0.2,1.0,19.649999618530273
600,20,0.3,0.1,1.7120000123977661
600,20,0.3,0.5,3.930000066757202
600,20,0.3,1.0,19.649999618530273
600,20,0.3,1.5,75.6500015258789
600,20,0.3,2.0,216.6999969482422
600,20,0.3,2.5,488.1000061035156
600,20,0.3,3.0,983.9000244140625
600,20,0.3,3.5,1771.0
600,20,0.4,1.0,19.649999618530273
600,20,0.5,1.0,19.649999618530273
600,20,0.6,1.0,19.649999618530273
600,20,0.7,1.0,19.649999618530273
600,20,0.8,1.0,19.649999618530273
600,20,0.9,1.0,19.649999618530273
600,20,1.0,1.0,19.649999618530273
700,1,0.3,1.0,10.380000114440918
700,5,0.3,1.0,10.380000114440918
700,10,0.3,1.0,10.380000114440918
700,20,0.0,1.0,10.380000114440918
700,20,0.05,1.0,10.380000114440918
700,20,0.1,1.0,10.380000114440918
700,20,0.2,1.0,10.380000114440918
700,20,0.3,0.1,0.6342999935150146
700,20,0.3,0.5,1.7829999923706055
700,20,0.3,1.0,10.380000114440918
700,20,0.3,1.5,41.79999923706055
700,20,0.3,2.0,121.9000015258789
700,20,0.3,2.5,279.20001220703125
700,20,0.3,3.0,566.9000244140625
700,20,0.3,3.5,1025.0
700,20,0.4,1.0,10.380000114440918
700,20,0.5,1.0,10.380000114440918
