mMed,mDark,rinv,yukawa,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
500.0,1,0.3,1,0.1597,0.0788,0.1055,0.1457,0.2044,0.2743
600.0,1,0.3,1,0.2106,0.1124,0.1526,0.2164,0.2708,0.4357
700.0,1,0.3,1,0.2476,0.0732,0.1099,0.1711,0.2645,0.3814
800.0,1,0.3,1,0.2981,0.0991,0.1347,0.1930,0.2814,0.3947
900.0,1,0.3,1,0.1370,0.0657,0.1045,0.1551,0.2750,0.4178
1000.0,1,0.3,1,0.3605,0.1571,0.2342,0.3672,0.5736,0.8345
1500.0,1,0.3,1,0.4796,0.3331,0.5250,0.8977,1.5202,2.4178
2000.0,1,0.3,1,1.6301,0.9229,1.4521,2.5750,4.6894,7.8057
2500.0,1,0.3,1,8.6039,3.3994,4.7959,7.1625,10.9026,16.3838
3000.0,1,0.3,1,9.4944,5.0910,7.2036,10.9062,17.0359,27.2422
3500.0,1,0.3,1,17.4025,12.0850,17.6614,28.1250,52.5644,85.2665
4000.0,1,0.3,1,41.5109,21.1953,33.0284,52.4250,82.7254,122.8685
500.0,10,0.3,1,0.0433,0.0248,0.0382,0.0668,0.1110,0.1693
600.0,10,0.3,1,0.0599,0.0346,0.0498,0.0770,0.1224,0.1895
700.0,10,0.3,1,0.0597,0.0340,0.0498,0.0613,0.1136,0.1620
800.0,10,0.3,1,0.0511,0.0349,0.0485,0.0629,0.1015,0.1404
900.0,10,0.3,1,0.0647,0.0370,0.0524,0.0809,0.1331,0.2133
1000.0,10,0.3,1,0.0682,0.0392,0.0648,0.1129,0.1930,0.3163
1500.0,10,0.3,1,0.1694,0.1141,0.1656,0.2445,0.4531,0.7413
2000.0,10,0.3,1,0.6877,0.4409,0.6479,1.0500,1.7950,2.9854
2500.0,10,0.3,1,2.2300,1.2486,1.9007,3.2125,5.7479,9.7373
3000.0,10,0.3,1,3.2606,2.3791,3.7658,6.6562,12.4402,20.1797
3500.0,10,0.3,1,15.1850,5.6434,8.4878,13.8250,23.6341,41.8960
4000.0,10,0.3,1,11.8802,8.2694,13.1162,23.5875,45.2123,71.5190
4000.0,100,0.3,1,110.4930,16.6115,25.1208,41.0875,70.2397,97.1631
500.0,20,0,1,0.6822,0.2880,0.3985,0.5922,0.9156,1.4066
600.0,20,0,1,1.1280,0.4042,0.6027,0.9281,1.4831,2.3724
700.0,20,0,1,1.2339,0.3880,0.5885,1.0375,2.0135,3.1460
800.0,20,0,1,0.7257,0.2341,0.4143,0.8531,1.7169,2.5874
900.0,20,0,1,1.6231,0.5521,0.8012,1.2453,1.9899,3.2393
1000.0,20,0,1,3.5608,0.5592,0.9897,1.9813,3.9872,6.0088
1500.0,20,0,1,13.6231,3.5913,6.9273,12.7250,21.7536,34.8566
2000.0,20,0,1,22.1583,7.6689,12.1189,20.1875,36.4421,61.1924
2500.0,20,0,1,198.7993,34.1938,61.8354,125.5000,252.5631,380.6189
3000.0,20,0,1,122.4106,41.7966,59.9024,100.4688,190.9756,304.6160
3500.0,20,0,1,280.8137,67.0048,113.2137,227.9500,458.7391,691.3312
4000.0,20,0,1,1375.8518,261.4951,448.3886,933.0000,1884.9421,2836.8843
500.0,20,0.05,1,0.0822,0.0465,0.0721,0.1254,0.2264,0.3777
600.0,20,0.05,1,0.1388,0.0666,0.1044,0.1664,0.3269,0.5046
700.0,20,0.05,1,0.1231,0.0581,0.1000,0.1945,0.3853,0.5899
800.0,20,0.05,1,0.3743,0.1565,0.2341,0.3797,0.6370,1.0454
