mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
500,0,1,20,1.7644019626233431,0.5880615711212158,0.8581278324127197,1.3562500476837158,2.156348466873169,3.217120885848999
600,0,1,20,6.377467184612758,1.847754001617432,2.767000675201416,4.462500095367432,7.699864387512207,12.14818286895752
700,0,1,20,9.849108986271846,3.3077638149261475,4.720012664794922,7.237500190734863,11.853338241577148,19.23146629333496
800,0,1,20,15.557467923692752,3.288281202316284,5.486425399780273,9.149999618530272,14.511425971984863,21.27162170410156
900,0,1,20,12.53033938025286,3.291015625,5.055822849273682,8.425000190734863,14.536998748779297,24.407079696655277
1000,0,1,20,13.001635040736986,1.0810546875,2.174263000488281,3.375,6.792035102844238,10.235766410827637
1500,0,1,20,45.30336850352217,12.6171875,24.608154296875,47.5,88.39679718017578,144.00271606445312
2000,0,1,20,169.0045678707042,55.54765701293945,83.64584350585938,146.60000610351562,283.3388061523437,444.5200500488281
2500,0,1,20,671.9945878655456,120.3125,242.67578125,400.0,804.98193359375,1213.1278076171875
3000,0,1,20,1140.4209115629976,337.5,398.046875,400.0,804.98193359375,1213.1278076171875
3500,0,1,20,1528.0303510720976,524.8828125,850.1096801757812,1493.0,2861.767333984375,4526.8837890625
4000,0,1,20,5598.464329282019,2000.0,3156.25,4000.0,8049.8193359375,12131.2783203125
500,0p05,1,20,0.7209719842245008,0.18798828125,0.2737579345703125,0.4375,0.8106932640075684,1.326313614845276
600,0p05,1,20,0.794813663077722,0.2003906369209289,0.3125885128974914,0.534375011920929,1.0157644748687744,1.620197057723999
700,0p05,1,20,1.014873206731593,0.3922851681709289,0.5971458554267883,0.975000023841858,1.6512322425842283,2.728795051574707
800,0p05,1,20,0.6765936114216792,0.2934325933456421,0.4394339323043823,0.7437499761581421,1.318886160850525,2.1658871173858643
900,0p05,1,20,1.7476046222462478,0.6816650629043579,0.9523134827613832,1.4187500476837158,2.176546573638916,3.26207971572876
1000,0p05,1,20,1.0238703031029,0.3516845703125,0.5852251052856445,1.046875,1.8897985219955444,3.1732876300811768
1500,0p05,1,20,5.661798234535505,2.1395509243011475,3.199051856994629,5.025000095367432,7.909300804138184,11.997897148132324
2000,0p05,1,20,21.69225022124049,5.717968463897705,8.525408744812012,14.074999809265137,24.28584671020508,40.05182266235352
2500,0p05,1,20,30.42718624607846,13.9453125,23.09173583984375,42.5,73.33203887939453,114.82347869873048
3000,0p05,1,20,44.35000593554587,19.626564025878903,29.390663146972656,47.400001525878906,78.00802612304688,125.02122497558594
